userId,movieId,rating,title,Rating_Count
1,1,4.0,toy story,215
5,1,4.0,toy story,215
7,1,4.5,toy story,215
15,1,2.5,toy story,215
17,1,4.5,toy story,215
18,1,3.5,toy story,215
19,1,4.0,toy story,215
21,1,3.5,toy story,215
27,1,3.0,toy story,215
31,1,5.0,toy story,215
32,1,3.0,toy story,215
33,1,3.0,toy story,215
40,1,5.0,toy story,215
43,1,5.0,toy story,215
44,1,3.0,toy story,215
45,1,4.0,toy story,215
46,1,5.0,toy story,215
50,1,3.0,toy story,215
54,1,3.0,toy story,215
57,1,5.0,toy story,215
63,1,5.0,toy story,215
64,1,4.0,toy story,215
66,1,4.0,toy story,215
68,1,2.5,toy story,215
71,1,5.0,toy story,215
73,1,4.5,toy story,215
76,1,0.5,toy story,215
78,1,4.0,toy story,215
82,1,2.5,toy story,215
86,1,4.0,toy story,215
89,1,3.0,toy story,215
90,1,3.0,toy story,215
91,1,4.0,toy story,215
93,1,3.0,toy story,215
96,1,5.0,toy story,215
98,1,4.5,toy story,215
103,1,4.0,toy story,215
107,1,4.0,toy story,215
112,1,3.0,toy story,215
119,1,3.5,toy story,215
121,1,4.0,toy story,215
124,1,4.0,toy story,215
130,1,3.0,toy story,215
132,1,2.0,toy story,215
134,1,3.0,toy story,215
135,1,4.0,toy story,215
137,1,4.0,toy story,215
140,1,3.0,toy story,215
141,1,4.0,toy story,215
144,1,3.5,toy story,215
145,1,5.0,toy story,215
151,1,5.0,toy story,215
153,1,2.0,toy story,215
155,1,3.0,toy story,215
156,1,4.0,toy story,215
159,1,4.5,toy story,215
160,1,4.0,toy story,215
161,1,4.0,toy story,215
166,1,5.0,toy story,215
167,1,3.5,toy story,215
169,1,4.5,toy story,215
171,1,5.0,toy story,215
177,1,5.0,toy story,215
178,1,4.0,toy story,215
179,1,4.0,toy story,215
182,1,4.0,toy story,215
185,1,4.0,toy story,215
186,1,4.0,toy story,215
191,1,4.0,toy story,215
193,1,2.0,toy story,215
200,1,3.5,toy story,215
201,1,5.0,toy story,215
202,1,4.0,toy story,215
206,1,5.0,toy story,215
213,1,3.5,toy story,215
214,1,3.0,toy story,215
216,1,3.0,toy story,215
217,1,4.0,toy story,215
219,1,3.5,toy story,215
220,1,5.0,toy story,215
223,1,3.5,toy story,215
226,1,3.5,toy story,215
229,1,5.0,toy story,215
232,1,3.5,toy story,215
233,1,3.0,toy story,215
234,1,5.0,toy story,215
239,1,4.0,toy story,215
240,1,5.0,toy story,215
247,1,5.0,toy story,215
249,1,4.0,toy story,215
252,1,4.5,toy story,215
254,1,4.5,toy story,215
263,1,4.0,toy story,215
264,1,4.0,toy story,215
266,1,2.0,toy story,215
269,1,5.0,toy story,215
270,1,5.0,toy story,215
273,1,5.0,toy story,215
274,1,4.0,toy story,215
275,1,5.0,toy story,215
276,1,4.0,toy story,215
277,1,4.0,toy story,215
279,1,3.0,toy story,215
280,1,4.5,toy story,215
282,1,4.5,toy story,215
283,1,3.0,toy story,215
288,1,4.5,toy story,215
290,1,4.0,toy story,215
291,1,4.0,toy story,215
292,1,4.0,toy story,215
293,1,3.0,toy story,215
298,1,2.0,toy story,215
304,1,5.0,toy story,215
307,1,4.0,toy story,215
314,1,3.0,toy story,215
322,1,3.5,toy story,215
323,1,3.5,toy story,215
328,1,5.0,toy story,215
330,1,4.0,toy story,215
332,1,4.0,toy story,215
334,1,3.5,toy story,215
336,1,4.0,toy story,215
337,1,4.0,toy story,215
339,1,4.0,toy story,215
341,1,5.0,toy story,215
347,1,5.0,toy story,215
350,1,4.0,toy story,215
353,1,5.0,toy story,215
357,1,5.0,toy story,215
359,1,4.0,toy story,215
364,1,5.0,toy story,215
367,1,5.0,toy story,215
372,1,3.0,toy story,215
373,1,3.0,toy story,215
378,1,4.5,toy story,215
380,1,5.0,toy story,215
381,1,3.5,toy story,215
382,1,4.5,toy story,215
385,1,4.0,toy story,215
389,1,5.0,toy story,215
391,1,3.0,toy story,215
396,1,5.0,toy story,215
399,1,4.0,toy story,215
401,1,3.5,toy story,215
411,1,5.0,toy story,215
412,1,2.0,toy story,215
414,1,4.0,toy story,215
420,1,4.0,toy story,215
422,1,4.0,toy story,215
432,1,2.5,toy story,215
434,1,4.0,toy story,215
436,1,4.0,toy story,215
438,1,4.5,toy story,215
443,1,4.0,toy story,215
448,1,5.0,toy story,215
451,1,5.0,toy story,215
453,1,5.0,toy story,215
456,1,5.0,toy story,215
460,1,4.5,toy story,215
462,1,1.5,toy story,215
468,1,4.0,toy story,215
469,1,4.0,toy story,215
470,1,4.0,toy story,215
471,1,5.0,toy story,215
474,1,4.0,toy story,215
476,1,4.0,toy story,215
477,1,4.0,toy story,215
480,1,3.0,toy story,215
483,1,4.0,toy story,215
484,1,4.5,toy story,215
488,1,4.5,toy story,215
490,1,3.5,toy story,215
492,1,4.0,toy story,215
500,1,4.0,toy story,215
504,1,4.0,toy story,215
509,1,4.0,toy story,215
514,1,4.0,toy story,215
517,1,4.0,toy story,215
522,1,3.0,toy story,215
524,1,4.0,toy story,215
525,1,4.0,toy story,215
528,1,2.5,toy story,215
529,1,3.0,toy story,215
533,1,5.0,toy story,215
534,1,4.0,toy story,215
541,1,3.0,toy story,215
544,1,3.0,toy story,215
550,1,4.0,toy story,215
555,1,4.0,toy story,215
559,1,5.0,toy story,215
560,1,3.0,toy story,215
561,1,4.0,toy story,215
562,1,4.5,toy story,215
567,1,3.5,toy story,215
570,1,4.0,toy story,215
572,1,4.0,toy story,215
573,1,5.0,toy story,215
579,1,4.0,toy story,215
580,1,3.0,toy story,215
584,1,5.0,toy story,215
587,1,5.0,toy story,215
590,1,4.0,toy story,215
596,1,4.0,toy story,215
597,1,4.0,toy story,215
599,1,3.0,toy story,215
600,1,2.5,toy story,215
601,1,4.0,toy story,215
603,1,4.0,toy story,215
604,1,3.0,toy story,215
605,1,4.0,toy story,215
606,1,2.5,toy story,215
607,1,4.0,toy story,215
608,1,2.5,toy story,215
609,1,3.0,toy story,215
610,1,5.0,toy story,215
1,3,4.0,grumpier old men,52
